Date: 05/07/2021

17:09:32 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 29768, 0, 0, 0, 0, 2781]
17:09:40 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 52893, 0, 0, 0, 0, 2787]
17:09:48 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 13518, 0, 0, 0, 0, 2852]
17:09:56 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 33831, 0, 0, 0, 0, 2824]
17:10:04 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 20706, 0, 0, 0, 0, 2791]
17:10:12 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 13518, 0, 0, 0, 0, 2788]
17:10:20 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 13518, 0, 0, 0, 0, 2851]
17:10:28 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 26643, 0, 0, 0, 0, 2782]
17:10:35 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 12581, 0, 0, 0, 0, 2850]
17:10:43 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 61018, 0, 0, 0, 0, 2843]
17:10:51 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 42893, 0, 0, 0, 0, 2783]
17:10:59 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 30706, 0, 0, 0, 0, 2854]
17:11:07 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 28831, 0, 0, 0, 0, 2786]
17:11:15 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 33831, 0, 0, 0, 0, 2795]
17:11:23 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 46956, 0, 0, 0, 0, 2792]
17:11:31 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 35706, 0, 0, 0, 0, 2823]
17:11:39 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 35706, 0, 0, 0, 0, 2785]
17:11:47 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 53028, 0, 0, 0, 0, 2787]
17:11:55 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 30706, 0, 0, 0, 0, 2853]
17:12:03 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 40706, 0, 0, 0, 0, 2810]
17:12:10 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 35706, 0, 0, 0, 0, 2845]
17:12:18 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 33831, 0, 0, 0, 0, 2829]
17:12:26 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 17581, 0, 0, 0, 0, 2800]
17:12:34 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 30706, 0, 0, 0, 0, 2863]
17:12:42 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 18518, 0, 0, 0, 0, 2833]
17:12:50 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 18518, 0, 0, 0, 0, 2826]
17:12:58 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 49768, 0, 0, 0, 0, 2836]
17:13:06 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 34768, 0, 0, 0, 0, 2825]
17:13:14 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 33831, 0, 0, 0, 0, 2843]
17:13:22 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 24768, 0, 0, 0, 0, 2842]
17:13:30 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 8518, 0, 0, 0, 0, 2820]
17:13:38 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 42893, 0, 0, 0, 0, 2856]
17:13:45 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 42893, 0, 0, 0, 0, 2826]
17:13:53 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 48831, 0, 0, 0, 0, 2829]
17:14:01 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 34768, 0, 0, 0, 0, 2823]
17:14:09 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 22581, 0, 0, 0, 0, 2855]
